lyrics,gender
past future unsure ask aware consequences dream fall throw defenses want want confusion drift tide live long die everytime touch baby feel little alive remind believe survive believe survive lessons learn like bridge burn need cross knowledge gain pain spoil cost spoil cost bear warm wind feel newly remember look think ought forget failures teach learn learn lessons learn like bridge burn need cross knowledge gain pain spoil cost spoil cost,1
say hard difference rise set feel change touch suttle deep hurt lose feel bind bind promise long know know know pure heart promise honestly long bind try hard take toll try heart warm slowly grow cold know right wrong matter matter go long hold hold bind bind promise long know know know pure heart promise honestly long bind say hard difference rise set,1
need close eye want heartbeat away need hold hand touch know keep warm night space telephone place smile know travel forever cold hold like need close eye want heartbeat away easy road driver heavy load know travel lifetime cold hold like need need hold hand touch know keep warm night need close eye right keep warm night hold hand hold hand wanna heartbeat away need,1
reason help understand shelter rain end girl friend know older past throw life away songs hear speak special word inside love believe world world paradise light long long long better turn live till ocean turn sand believe world world paradise night long long long believe world world paradise night long long long,1
hardest thing walk away love love somethings mean time lose long better better gonna pride self esteem life follow dream lookin learn mistake past heartache know hurt stop better better know rome wasn build alot good memories wouldn change thing gonna pain gotta cost long better better gonna pride self esteem life follow dream lookin learn mistake past heartache know hurt stop better better gonna learn mistake past heartache know hurt stop better better,1
hook right start hook right start throw pitch fork right clean heart drown hand hand glass water drown go hand hand glass water trouble cause think marry devil daughter whoa wicked wild evil mind voodoo blood evil mind dirty devil daughter time damn ball flame get higher flame flame get higher think go marry marry devil daughter grandma grandpa devil right right devil,1
time chimpanzees monkey butane vein junkie plastic eyeball spraypaint vegetables food skulls beefcake pantyhose kill headlights neutral stock flame loser cruise control baby reno vitamin couple couch sleep loveseat come say insane complain shotgun wed stain shirt believe breathe park violation maggot sleeve shave face dark save food stamp burn trailer perdedor loser baby kill double barrel buckshot perdedor loser baby kill force evil bozo nightmare music phony chamber cause weasel flag pole shove rerun show cocaine nosejob daytime crap folksinger slob hang guitar string slab turkeyneck hang pigeon wing right relate trade cash beat body hate time piece fall termite choke splinter perdedor loser baby kill crazy cheese whiz perdedor loser baby kill driveby body bring driver winner things gonna change feel perdedor loser baby kill believe perdedor loser baby kill perdedor loser baby kill sprechen deutsch baby perdedor loser baby kill know sayin,1
detroit club ballers show party thug try pack party wanna know tell suppose say meet miami girl panic whip mansions know tshirt panties club dancers grab couple attractive classy romantic wanna leave girl think pull wagon jeep girl live lavish kick feet club ballers show party thug try pack party wanna know tell suppose tell think boss wanna treat know tire leech girl feature knees weak simple easy know know leave bout think pull wagon jeep live lavish kick feet wanna away hello gonna leave club club ballers show party thug try pack party wanna know tell suppose jacquees yeah yeah,1
door open heart confess loneliness door open heart like door open heart ashamed better hold inside satisfy close door open heart ashamed better hold inside satisfy close door open heart door open heart,1
ask like fine know truth hard come tell truth true days diamonds days stone hard time leave cold wind blow chill bone days diamonds days stone face mirror stranger danger think days diamonds days stone hard time leave cold wind blow chill bone days diamonds days stone days diamonds days stone hard time leave cold wind blow chill bone days diamonds days stone days diamonds days stone hard time leave,1
